Station,Complex,Stop_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,Latitude,Longitude,North_Label,South_Label,CBD
15 ST-PROSPECT-FG,241,F25,IND,6th Av - Culver,15 St-Prospect Park,Bk,F G,Subway,40.660365,-73.979493,Manhattan - Queens,Church Av - Coney Island,"N"
155 ST-BD,220,D12,IND,Concourse,155 St,M,B D,Subway,40.830135,-73.938209,The Bronx,Downtown & Brooklyn,"N"
155 ST-C,150,A11,IND,8th Av - Fulton St,155 St,M,C,Subway,40.830518,-73.941514,Uptown,Downtown & Brooklyn,"N"
157 ST-1,303,113,IRT,Broadway - 7Av,157 St,M,1,Subway,40.834041,-73.94489,Uptown & The Bronx,Downtown,"N"
161/YANKEE STAD-4BD,604,D11,IND,Concourse,161 St-Yankee Stadium,Bx,B D,Subway,40.827905,-73.925651,Bedford Pk Blvd & 205 St,Manhattan,"N"
163 ST-AMSTERDM-C,149,A10,IND,8th Av - Fulton St,163 St-Amsterdam Av,M,C,Subway,40.836013,-73.939892,Uptown,Downtown & Brooklyn,"N"
167 ST-4,388,413,IRT,Jerome Av,167 St,Bx,4,Elevated,40.835537,-73.9214,Woodlawn,Manhattan,"N"
167 ST-BD,218,D10,IND,Concourse,167 St,Bx,B D,Subway,40.833771,-73.91844,Bedford Pk Blvd & 205 St,Manhattan,"N"
168 ST-1AC,605,A09,IND,8th Av - Fulton St,168 St,M,A C,Subway,40.840719,-73.939561,207 St,Downtown & Brooklyn,"N"
169 ST-F,255,F02,IND,Queens Blvd,169 St,Q,F,Subway,40.71047,-73.793604,179 St,Manhattan,"N"
170 ST-4,387,412,IRT,Jerome Av,170 St,Bx,4,Elevated,40.840075,-73.917791,Woodlawn,Manhattan,"N"
170 ST-BD,217,D09,IND,Concourse,170 St,Bx,B D,Subway,40.839306,-73.9134,Bedford Pk Blvd & 205 St,Manhattan,"N"
174 ST-25,428,215,IRT,Lenox - White Plains Rd,174 St,Bx,2 5,Elevated,40.837288,-73.887734,Wakefield - Eastchester,Manhattan,"N"
174-175 STS-BD,216,D08,IND,Concourse,174-175 Sts,Bx,B D,Subway,40.8459,-73.910136,Bedford Pk Blvd & 205 St,Manhattan,"N"
175 ST-A,147,A07,IND,8th Av - Fulton St,175 St,M,A,Subway,40.847391,-73.939704,207 St,Downtown & Brooklyn,"N"
176 ST-4,385,410,IRT,Jerome Av,176 St,Bx,4,Elevated,40.84848,-73.911794,Woodlawn,Manhattan,"N"
